Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t,av_loop_gpu_t,av_loop_cpu_t,av_loop_gpu_cpu_t,av_loop_cpu_gpu_t
Sequential,-1,0.551000,0.548115,0.558428
Naive,32,0.132689,0.132464,0.133444,0.106068,0.021332,0.005203,0.000078
Naive,64,0.132888,0.132618,0.133894,0.106158,0.021418,0.005223,0.000081
Naive,128,0.131644,0.131400,0.132373,0.104937,0.021405,0.005217,0.000079
Naive,256,0.131934,0.131585,0.132763,0.105233,0.021395,0.005220,0.000079
Naive,512,0.133852,0.133681,0.134737,0.107132,0.021408,0.005224,0.000080
Naive,1024,0.134712,0.134545,0.135474,0.107832,0.021579,0.005215,0.000079

Transpose,32,0.086713,0.086292,0.087827,0.026351,0.055052,0.005223,0.000079
Transpose,64,0.077869,0.077240,0.079990,0.017426,0.055146,0.005211,0.000079
Transpose,128,0.077342,0.076892,0.079693,0.016952,0.055087,0.005213,0.000082
Transpose,256,0.077462,0.076814,0.080310,0.017200,0.054963,0.005211,0.000080
Transpose,512,0.077497,0.076777,0.081167,0.017378,0.054818,0.005215,0.000078
Transpose,1024,0.078204,0.077606,0.080854,0.018055,0.054856,0.005208,0.000078

Shmem,32,0.088962,0.088663,0.089764,0.028953,0.054713,0.005209,0.000078
Shmem,64,0.081062,0.080777,0.081743,0.021150,0.054612,0.005215,0.000079
Shmem,128,0.074697,0.073929,0.079491,0.014695,0.054697,0.005220,0.000078
Shmem,256,0.074370,0.073559,0.079533,0.014334,0.054741,0.005210,0.000078
Shmem,512,0.075465,0.074792,0.079632,0.015326,0.054836,0.005216,0.000080
Shmem,1024,0.076787,0.076205,0.080439,0.016586,0.054900,0.005213,0.000079
